conference_id,conference_name,publication_id,publication_title,publication_date,doi
3722,test,8084,ИНТЕГРАЦИЯ БАЗ ДАННЫХ В ШЛЮЗОВОМ ПРОГРАММНОМ ОБЕСПЕЧЕНИИ ДЛЯ СИСТЕМ ВЕРХНЕГО УРОВНЯ АСУ ТП АЭС,2018-01-01,
2499,test,8077,Виртуальный стенд двигателя постоянного тока при различных типах обратной связи,2018-01-01,
2499,test,8076,Управление мобильным роботом в условиях неопределенности,2018-01-01,
3722,test,8075,Analysis of the Road Traffic Safety Strategy in the Russian Federation for 2018-2023,2018-01-01,10.1109/MLSD.2018.8551839 
4445,test,8074,Structural Correction Method for Monitoring Parameter Estimation in the Unrepresentative Sample Analysis Problem,2018-01-01,
3722,test,8073,Анализ стратегии безопасности дорожного движения в Российской Федерации на 2018 - 2023 годы,2018-01-01,
3367,test,8066,Анализ тональности текста с использованием методов машинного обучения,2018-01-01,
3722,test,8051,ОНТОЛОГИЧЕСКИ-ОРИЕНТИРОВАННАЯ ПОДДЕРЖКА ПРИНЯТИЯ РЕШЕНИЙ ПО УПРАВЛЕНИЮ КРУПНОМАСШТАБНЫМИ ПРОИЗВОДСТВАМИ,2018-01-01,
2462,test,8050,Method of designing microfluidic operational units of robust reserve control systems of critical objects,2018-01-01,
2059,test,8049,Информационные технологии формирования программ разработки инновационных энергоэффективных решений,2018-01-01,
3368,test,8060,Reliability modeling of the rotary-wing flight module of a high-altitude telecommunications platform,2019-01-01,
3722,test,8043,Механизмы оптимизации управления производством с применением киберсоциальных систем,2018-01-01,
1953,test,8042,Local inmum in optimal control,2018-01-01,
1840,test,8031,Подход к обработке и анализу данных во встроенных системах интернета вещей,2018-01-01,
1953,test,8041,Принцип максимума для инфимума в задачах оптимального управления,2018-01-01,
3722,test,8040,Моделирование волатильности нефтяного рынка,2018-01-01,
2132,test,8034,Классификация узлов случайного графа по экстремальным свойствам влиятельности,2018-01-01,
3722,test,8033,Особенности инвестиционных процессов в ряде кавказских регионов,2018-01-01,
3722,test,8032,Устройства для мониторинга ультрафиолетового излучения,2018-01-01,
1840,test,8030,Концепция обеспечения безопасности встраиваемых вычислительных систем,2018-01-01,
1920,test,8029,Проблема формализации деструктивного влияния виртуальной среды пользователя в задаче детектирования вредоносного контента,2018-01-01,
1920,test,8028,Разработка мультиагентной технологии экологического картографирования мегаполиса,2018-01-01,
1964,test,8027,Интеллектуальный анализ электронных текстовых сообщений и интернет-контента,2018-01-01,
3722,test,7974,Multicriterial Indexation of Urban Prosperity,2018-01-01,10.1109/MLSD.2018.8551813
4167,test,8018,Навыки и компетенции новой научно-технологической революции в системе образования,2018-01-01,
906,test,8016,Labour excessive economy problems,2018-01-01,
906,test,8015,The origin of fractality of stock market time-series,2018-01-01,
906,test,8014,The influence of ruble exchange rate on Russian economics.,2018-01-01,
906,test,8013,One-product noise equilibrium model,2018-01-01,
3722,test,8010,Quality Estimation Model of Investment Portfolio Rebalancing Process,2018-01-01,10.1109/MLSD.2018.8551950
3722,test,8009,Classification Analysis Method for Dynamic Characteristics of IT Companies Shares Exchange Value,2018-01-01,10.1109/MLSD.2018.8551785
3722,test,8008,Modeling and Assessment of the IT Companies Investment Attractiveness Indicators,2018-01-01,10.1109/MLSD.2018.8551880
2313,test,8001,Цифровая система мониторинга качественных и количественных показателей рудного сырья и типизация последнего до подачи на обогащение,2018-01-01,
4167,test,7995,Структурные трансформации вузов на пути к цифровой экономике и стратегия самоконкуренции на рынке образовательных услуг,2018-01-01,
3379,test,7944,Development of method for predicting the aircraft brake-way and investigation of its reliability,2018-01-01,10.1063/1.5081607
1174,test,7994,О поиске оптимальных управлений в классе существенно ограниченных функций для двойного интегратора нецелого порядка,2019-01-01,
3708,test,7991,Specific aspects of evaluation of control systems similarity,2017-01-01,10.1088/1755-1315/84/1/012028
1967,test,7988,Подходы к выбору наилучшей процедуры проведения совещаний,2018-01-01,
3722,test,7987,Alternative Approach to Quantitative Estimation of the SWOT Analysis Solutions,2018-01-01,DOI: 10.1109/MLSD.2018.8551790
3722,test,7986,АЛЬТЕРНАТИВНЫЙ ПОДХОД К КОЛИЧЕСТВЕННОЙ ОЦЕНКЕ РЕШЕНИЙ SWOT-АНАЛИЗА,2018-01-01,
3722,test,7985,УПРАВЛЕНИЕ РАЗВИТИЕМ РЕГИОНА: ЧЕЛОВЕЧЕСКИЙ ПОТЕНЦИАЛ И ПРИВЛЕКАТЕЛЬНОСТЬ ДЛЯ ИНВЕСТИЦИЙ,2018-01-01,
3307,test,7977,Control Algorithms for some Functioning Modes of Free-flying Space Manipulation Robot,2018-01-01,10.1063/1.5081569
3985,test,7976,Logarithmic differential forms on singular varieties,2018-01-01,doi.org/10.1142/11060
1969,test,7971,Создание системы управления интеллектуальной собственностью на основе использования баз знаний (онтологий) и мультиагентных технологий,2016-01-01,
3722,test,7969,Разработка энергоэффективных алгоритмов формирования маршрутов роботов в аэромобильной сети связи,2018-01-01,
3722,test,7968,Модель адаптивной нейронечёткой шкалы оценки параметров технического состояния гетерогенного робототехнического комплекса,2018-01-01,
3986,test,7966,Using of the SDP relaxation method for optimization of the satellites set chosen for positioning,2018-01-01,
4445,test,7965,Second-Order Improvement Method for Discrete-Continuous Systems with Intermediate Criteria.,2018-01-01,10.1016/j.ifacol.2018.11.378
3986,test,7963,Attitude Determination with Multiple Antennas Using SDP Relaxation,2018-01-01,
906,test,7960,"Минимальная" агентная модель муравейника: возникновение специализации как кооперативный эффект,2019-01-01,
1971,test,7959,Устойчивое инновационное развитие системы здравоохранения,2018-01-01,
3379,test,7943,Development and testing of energy algorithms to predict the trajectory of aircraft takeoff,2018-01-01,10.1063/1.5081608
3984,test,7952,Non-hydrostatic Stresses Under the Local Structures on Mars,2019-01-01,10.1007/978-3-319-97670-9_27
3451,test,7947,The Impact of Indirect Connections: The Case of Food Security Problem,2019-01-01,
3987,test,7946,Power OF COUNTRIES IN A FOOD TRADE NETWORK,2018-01-01,
1975,test,7938,Динамическая контейнерная виртуализация как метод обеспечения безопасности инфраструктуры IOT,2018-01-01,
1976,test,7935,Временная стабильность параметров фито-модулей CoB Citizen,2018-01-01,
3551,test,7918,Detection and Recognition of Emergency Situations in Continuous Video Stream of Information and Telecommunication Systems,2018-01-01,10.1109/FarEastCon.2018.8602625
3988,test,7933,Nonparametric PU Learning of State Estimation in Markov Switching Model,2018-01-01,10.1007/978-3-319-96941-1
3380,test,7932,Prerequisites for the Creation of the Universal Algorithmic Space of Digital Economy,2018-01-01,10.33278/SAE-2018.eng.327-332
906,test,7931,Применение методов кластеризации графов к сети корреляций финансовых активов,2019-01-01,
906,test,7930,О механизме ассортативного смешивания в социальных сетях,2019-01-01,
1174,test,7929,Модель медленно тающей кометы-спутника,2019-01-01,
4415,test,7928,Вселенная как ноосфера: цель мегачеловечества,2018-01-01,
3722,test,7923,Сетевой анализ продовольственной безопасности,2017-01-01,
3302,test,7922,Indirect influence assessment in the context of retail food network,2018-01-01,
3414,test,7920,Influence estimation in networks by long-range interactions,2016-01-01,
3551,test,7919,Identification of potential risks to system security using wavelet analysis, the time-and-frequency distribution indicator of the time series and the correlation analysis of wavelet-spectra,2018-01-01,10.1109/FarEastCon.2018.8602675
1977,test,7917,Система автоматизации и информационное обеспечение процесса грануляции серы,2016-01-01,
2307,test,7916,Разработка виртуального анализатора октанового числа по исследовательскому методу для мониторинга и управления технологическим процессом установки каталитического риформинга,2017-01-01,
2377,test,7914,Интеллектуальная обработка метаданных и логистики индивида в интересах развития технологий с эффективным применением «Data exhaust»,2019-01-01,
2377,test,7913,Какими были искусственный интеллект и представления о нём в ХХ веке?,2019-01-01,
2377,test,7912,Наследие В.Н. Полякова в когнитивной лингвистике и компаравистике: «Языки мира»,2019-01-01,
2377,test,7911,Цифровой двойник: альтернативные или взаимоисключающие современные правовые позиции,2019-01-01,
1980,test,7908,Робоэтика: проблемы и перспективы,2016-01-01,
2059,test,7906,Комплекс механизмов управления разработкой и внедрением энергоэффективных средств и технологий на железнодорожном транспорте,2018-01-01,
3988,test,7883,Modification of Moment-Based Tail Index Estimator: Sums versus Maxima,2018-01-01,10.1007/978-3-319-96941-1_10
2462,test,7905,Пределы роста и глобальная финансовая олигархия,2018-01-01,
4415,test,7902,Особенности использования стохастического программирования в решении обратных задач оценки надежности бортовой аппаратуры космического аппарата,2018-01-01,
3381,test,7901,Portable Remotely Operated Underwater Smart Vehicle with a Camera and an Arm,2019-01-01,10.1109/PEDSTC.2019.8697755
3537,test,7893,Light- and heavy- tailed density estimation by gamma and Gamma-Weibull kernels,2018-01-01,10.1007/978-3-319-96941-1_10
3502,test,7889,Robust control system for plasma current and position in a tokamak with self-oscillating actuators,2018-01-01,10.1109/STAB.2018.8408380
3503,test,7888,Robust plasma position, current, and shape control system simulated on the plasma evolution code for the spherical tokamak Globus-M,2018-01-01,
1981,test,7887,Концепция «умного» производства с применением технологии интернета вещей для автоматизации процессов в сельском хозяйстве,2019-01-01,
1981,test,7884,Тренажерный комплекс беспилотной авиационной системы (БАС) полевого назначения,2019-01-01,
1953,test,7879,Optimization of interplanetary flight to Phobos on the basis of maximum principle,2018-01-01,
4426,test,7878,Методика построения экстремалей Понтрягина в задачах с комбинированной тягой,2019-01-01,
1983,test,7876,Исследование устойчивости алгоритмов класса RLS к аддитивным шумам и сигналам встречного направления,2019-01-01,
4090,test,7343,Макет магнитной локации,2019-01-01,
1984,test,7873,Создание программных продуктов с помощью модульной архитектуры,2019-01-01,
1984,test,7872,Обзор оборудования, использующегося для бурения при добыче углеводородов,2019-01-01,
1984,test,7871,Основы разведки и добычи углеводородов,2019-01-01,
1984,test,7869,Методики оценки эффективности внедрения CRM-системы,2019-01-01,
1984,test,7868,Критерии оценки эффективности внедрения CRM-системы,2019-01-01,
1984,test,7867,Разработка основных методов защиты USB носителей,2019-01-01,
2462,test,7866,Контрфактическое моделирование новых вызовов посткибератак посредством пертинентной обработки сверхбольших массивов данных и их визуализации,2018-01-01,
1983,test,7865,Освоение подхода и технического решения "Communication-satellite system that causes reduced interference",2019-01-01,
2059,test,7860,Построение расписания обслуживания локомотивов ТО-2 в депо,2018-01-01,
3648,test,7859,Scheduling of Locomotives’ Maintenance TS-2 in a Depot,2018-01-01,
4170,test,7855,Алгоритмы составления порядка обслуживания локомотивов в депо,2019-01-01,
2755,test,7854,Characterisation of diffusion-driven self-organisation of rodlike particles by means of entropy of generalised two-dimensional words,2018-01-01,10.1088/1742-6596/1141/1/012137
2000,test,7342,On global inverse function theorem,2019-01-01,
3385,test,7853,Uljanov Informative Symbolic Representations as a Way to Qualitatively Analyze Time Series,2019-01-01,10.1109/EnT.2019.00014
1981,test,7848,О подходе и технической реализации "Communication Satellite System that Causes Reduced Interference",2019-01-01,
1981,test,7847,Фреймворк стратифицированной модели виртуальной семантической среды экстренного реагирования и управления,2019-01-01,
2721,test,7835,О статистической значимости коэффициентов сходства,2019-01-01,
3537,test,7834,On discrimination between two classes of distribution tails,2018-01-01,
2132,test,7833,О различении классов хвостовых распределений,2017-01-01,
2132,test,7832,Оценка параметров сдвига и масштаба хвоста распределения,2017-01-01,
2132,test,7831,Скорость сходимости в теореме Фишера-Типпета-Гнеденко,2017-01-01,
1397,test,7830,Различение распределений вейбулловского типа по максимальным членам вариационного ряда,2016-01-01,
3722,test,7828,On multivalued solutions of one-dimensional quasilinear wave equations,2018-01-01,10.1109/MLSD.2018.8551892
1986,test,7823,Принципы многокритериальной рейтинговой оценки конкурентоспособности предприятий ракетно-космической промышленности,2014-01-01,
4051,test,7821,Modeling of the multiply connected controlled dynamical systems,2018-01-01,10.1109/ICUMT.2018.8631260 
2722,test,7820,Закон о стратегическом планировании, и методологические проблемы разработки стратегий развития отраслей и регионов,2019-01-01,
2231,test,7816,Программный алгоритм выделения данных сигнала: пример сейсмической информации,2019-01-01,
1988,test,7814,Optimal robust design of propulsion parameters for the supersonic maneuverable aircraft,2018-01-01,
1595,test,7813,Пакет прикладных программ оценки характеристик систем стохастического поллинга,2019-01-01,
1595,test,7812,Модель открытой системы мобильной связи,2019-01-01,
2464,test,7807,Задача распознавания символов в художественных изображениях,2018-01-01,10.30826/IDP201853
1991,test,7806,Декомпоиция разреженных матриц в задачах целочисленного программирования,2017-01-01,
2000,test,7745,Об универсальных неравенствах для норм в суперрефлексивных банаховых пространствах,2019-01-01,10.29003/m978-5-317-06111-1
3386,test,7793,Formation and development of marketing communications in the context of consumer demand individualization,2019-01-01,
3386,test,7792,Selection of logistics performance indicators,2019-01-01,
1993,test,7780,Маркетинговое продвижение риелторских услуг: средства и инструменты,2017-01-01,
4090,test,7690,Распределение максимальных k-степеней биномиального случайного графа,2019-01-01,
1994,test,7770,К вопросу о развитии транспортно-логистических информационных систем,2017-01-01,
1995,test,7769,Методический подход к маркетинговой оценке геронтоориентированности розничных продовольственных сетей,2018-01-01,
1647,test,7767,О внутренних проблемах внедрения технологий интернет-маркетинга на предприятиях малого бизнеса,2017-01-01,
1996,test,7766,К вопросу о содержании логистической миссии и целей  логистики,2018-01-01,
1997,test,7762,Процессно-ориентированные логистические системы как основа взаимодействия с партнерами в розничных сетях,2018-01-01,
2008,test,7712,Технология многоагентных систем в моделироавнии взаимодействия человека и робота,2019-01-01,
2000,test,7744,Анализ динамики линейных систем дробного порядка с управлением,2019-01-01,
2001,test,7742,Opinion convergence in the Krasnoshchekov model,2018-01-01,
2003,test,7740,Особенности отбора и подготовки руководящих кадров в условиях чрезвычайных ситуаций,2019-01-01,
2003,test,7739,Технологии управления персоналом в контексте реализации новых моделей управления грузоперевозками на железнодорожном транспорте СНГ,2019-01-01,
2006,test,7726,Admissible and boundary phase trajectories of fractional-order systems with lumped parameters,2019-01-01,
2007,test,7722,Обучение будущему в цифровой среде,2019-01-01,
3391,test,7708,Mathematical Model of the Dynamics of Operation of the Tethered High-Altitude Telecommunication Platform in the Turbulent Atmosphere,2019-01-01,10.1109/SOSG.2019.8706784
3612,test,7704,Towards the Defuzzification Procedure in an ANFIS,2019-01-01,10.1109/SIBCON.2019.8729588
2009,test,7700,Сотрудничество человека и робота на примере коллаборативной робототехники,2019-01-01,
4090,test,7669,Оценивание отклонения траекторий в линейных дискретных системах с матричной неопределенностью,2019-01-01,
4090,test,7694,Моделирование и оценивание кластеров экстремумов случайных графов,2019-01-01,
2266,test,7693,The impact of collaborative robotic solutions for increasing efficency of human activities,2019-01-01,
2266,test,7692,Влияние коллаборотивных робототехнических решений на повышение эффективности деятельности человека,2019-01-01,
4090,test,7691,ПРАКТИЧЕСКОЕ ПРИМЕНЕНИЕ МЕТОДОВ ИДЕНТИФИКАЦИИ В ОТЕЧЕСТВЕННОЙ МЕТАЛЛУРГИИ,2019-01-01,
4090,test,7689,МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ПРОЦЕССОВ КОАГУЛЯЦИИ МЕЛКОЗЕРНИСТЫХ ЧАСТИЦ В ВЯЗКИХ ЖИДКОСТЯХ ГИДРОМЕТАЛЛУРГИИ,2019-01-01,
4090,test,7688,Некоторые свойства периодических включений с асимптотически устойчивыми множествами,2019-01-01,
2723,test,7687,ПЕРСПЕКТИВЫ ИСПОЛЬЗОВАНИЯ НЕЙРОИНТЕЛЛЕКТА В СОВРЕМЕННЫХ ГИС,2019-01-01,
4090,test,7668,Синтез и моделирование робастных систем управления неустойчивым вертикальным положением плазмы в токамаке,2019-01-01,
4090,test,7683,О подходе к систематизации задач и методов их решения,2019-01-01,
4090,test,7680,Методы и технологии управления обеспечением социальной стабильности на основе сценарного подхода,2019-01-01,
4090,test,7679,Методы повышения безопасности распределенных систем,2019-01-01,
4090,test,7678,Управление социальным развитием: направления исследований для ИПУ РАН,2019-01-01,
4090,test,7677,Проблемы и задачи защиты патентной информации,2019-01-01,
4090,test,7676,Концепция сценарного подхода к разработке математических моделей и механизмов управления и функционирования организационных систем,2019-01-01,
4090,test,7675,Моделирование сценариев цифровизации сельского хозяйства,2019-01-01,
4090,test,7674,Сборка субъектов и объектов в рефлексивно-активной среде ситуационных центров развития,2019-01-01,
4090,test,7673,Современные вызовы информатизации и правоохранительная деятельность,2019-01-01,
3243,test,7672,Reverse engineering of mobile applications,2019-01-01,10.1088/1757-899X/537/5/052005
3243,test,7671,Training video surveillance system for the purpose of object identification with the help of neural networks,2019-01-01,10.1088/1757-899X/537/5/052009
4090,test,7670,Рекуррентная идентификация в задачах адаптивного управления нестационарными объектами,2019-01-01,
4090,test,7667,Градиентные методы в невыпуклой оптимизации.,2019-01-01,
4090,test,7666,Условие Поляка-Лоясевича на гладкой поверхности,2019-01-01,
4090,test,7665,Пилотируемая космонавтика – сфера развития и применения передовых технологий управления,2019-01-01,
4090,test,7664,Анизотропийная частотная теорема для линейных дискретных систем с политопическими неопределенностями,2019-01-01,
4090,test,7663,Программное управление космическими объектами,2019-01-01,
4090,test,7662,Управление траекторией движения корабля,2019-01-01,
4090,test,7661,Анизотропийный анализ дискретной нестационарной системы на конечном горизонте с некоррелированными мультипликативными шумами,2019-01-01,
4090,test,7660,Спектральный метод анализа стохастических систем управления.,2019-01-01,
4090,test,7659,Прогнозирование вероятности ущерба при аварийном торможении воздушного судна,2019-01-01,
4090,test,7658,Методы обработки геофизических данных для обеспечения работы навигационной системы, корректируемой по градиенту магнитного поля Земли,2019-01-01,
2013,test,7655,Процесс цифровой трансформации экономики России,2019-01-01,
3697,test,7629,Control System Availability Assessment Via Maximum Delay Calculation,2019-01-01,10.1109/ICIEAM.2019.8743012
2013,test,7654,Экспертная оценка систем управления контентом,2019-01-01,
2014,test,7653,Поддержка альтруистичных агентов при голосовании путем перераспределения доходов общества,2019-01-01,
2014,test,7652,A responsible elite as a stratum that combines protection of public and group interests,2019-01-01,
2015,test,7651,Оптимальный порог голосования для различных распределений при голосовании в стохастической среде,2018-01-01,
3393,test,7649,Convergent Social Responsibility  as the Key to Corporate Strategic Success,2019-01-01,
4090,test,7648,Об одной обратной задаче вариационного исчисления,2019-01-01,
3394,test,7647,Resource capacity and time lag propagation techniques for RCPSP MAX problem,2019-01-01,
4090,test,7645,О методе оценки производительности многошаговых беспроводных сетей с использованием методов понижения размерности многофазных стохастических систем с коррелированными потоками.,2019-01-01,
4090,test,7644,О применении принципа локализации при оценке эффективности модели контроля защищенности систем,2019-01-01,
4090,test,7642,Динамическая задача расширения мощности производства,2019-01-01,
4090,test,7640,Управление догоняющим развитием региона: факторы влияния на социальное и экономическое состояние,2019-01-01,
4090,test,7639,Об отраслевой структуре инвестиций в регионах,2019-01-01,
1598,test,7635,Анализ компонентного состава природного газа с применением искусственных нейронных сетей,2019-01-01,
1598,test,7634,Построение модуля вычисления акустических признаков системы анализа речевой информации,2019-01-01,
3722,test,7633,Hyperbolic trend of a global population in XVI-XX a.d. as a mirror of condensation in the World system,2018-01-01,
3722,test,7630,Управление асинхронным электроприводом при неопределенности электрических параметров и воздействии внешних возмущений,2018-01-01,
4090,test,7628,Нелинейный алгоритм управления понижающим преобразователем напряжения,2019-01-01,
4090,test,7627,Нелинейный алгоритм управления перевернутым маятником,2019-01-01,
3397,test,7622,Cluster properties  of non-stationary random length sequences,2019-01-01,
4090,test,7621,ПРИМЕНЕНИЕ ПОРЯДКОВЫХ СТАТИСТИК В ЗАДАЧЕ ОБНАРУЖЕНИЯ ПОДВИЖНОГО ОБЪЕКТА,2019-01-01,
4090,test,7613,Математические методы проектирования и опыт реализации привязных высотных беспилотных телекоммуникационных платформ,2019-01-01,
4090,test,7612,О математической модели системы радиочастотной идентификации мобильных объектов, оснащенных RFID-метками,2019-01-01,
4090,test,7611,Задача размещения базовых станций широкополосной связи для обслуживания заданного множества рассредоточенных объектов,2019-01-01,
4090,test,7610,Модель разгрузки системы передачи данных между подвижными устройствами интернета вещей,2019-01-01,
2444,test,7604,Обзор исследований в области применения технологий «интернета вещей» для сельского хозяйства,2018-01-01,
2451,test,7603,Улучшенный алгоритм встраивания информации в область ДКП цифровых изображений на основе метода QIM с переменным шагом квантования,2018-01-01,
2451,test,7602,Встраивание информации в сжатые JPEG-изображения с минимизацией проявления демаскирующих признаков,2018-01-01,
3399,test,7587,The algorithm of the high-capacity information embedding into the digital images DCT domain using differential evolution,2017-01-01,
3992,test,7600,An approach to a robust watermark extraction from images containing text,2018-01-01,10.15622/sp.60.5
3983,test,7598,Approach to increase in efficiency of information embedding into a phase spectrum of the discrete Fourier transformation due to minimization of quantity of changeable frequency coefficients,2017-01-01,
2019,test,7597,Исследование параметров алгоритма оптимизации на основе клеточного автомата с целевой функцией,2017-01-01,
3307,test,7596,Integer properties of a composition of exponential generating functions,2017-01-01,
1824,test,7586,Covering mappings and their applications,2017-01-01,
2001,test,7572,Pontryagin maximum principle in optimal control problems with geometric mixed constraints,2016-01-01,
2020,test,7595,Сравнение линейного дискриминанта Фишера и наивного байесовского классификатора в задаче стегоанализа JPEG-изображений,2017-01-01,
2020,test,7594,Встраивание информации в область дискретного косинусного преобразования цифровых изображений с безошибочным извлечением,2017-01-01,
2021,test,7593,The improved algorithm of the high-capacity information embedding into the digital images discrete cosine transform domain,2017-01-01,
3323,test,7589,On existence of minima of lower semicontinuous functions and solvability of nonlinear equations,2018-01-01,
2020,test,7585,Метод стеганографической защиты авторства электронных документов,2016-01-01,
3994,test,7584,Covering mappings and their applications,2017-01-01,10.1109/CNSA.2017.7973930
2001,test,7573,Covering constant of the restriction of a linear mapping to a convex cone,2016-01-01,
1537,test,7569,О свойствах множества точек совпадения отображений метрических и нормированных пространств,2017-01-01,
1537,test,7568,Накрывающие отображения в метрических пространствах и точки совпадения,2017-01-01,
3937,test,7566,Conditions for the absence of jumps of the solution to the adjoint system of the maximum principle for optimal control problems with state constraints,2016-01-01,
3323,test,7565,A refinement of the maximum principle for state constrained optimal control problems under a regularity condition,2018-01-01,
2023,test,7561,Рынок аудиторских услуг в условиях трансформациях рынка,2019-01-01,
2023,test,7560,Инвестиции в обеспечении устойчивого экономического роста,2019-01-01,
2024,test,7559,Влияние пользовательского контента на формирование и продвижение туристского продукта,2019-01-01,
2024,test,7558,Экономическое обоснование внедрения новых курортных технологий в сфере туризма,2019-01-01,
